year,juvCount,ocean1Count,ocean2Count,Pop
2000,8327,146,167,SNA
2001,449,1,0,SNA
2002,5089,79,56,SNA
2003,5000,33,36,SNA
2004,425,3,7,SNA
2005,326,1,0,SNA
2006,2623,70,19,SNA
2007,3161,83,42,SNA
2008,10498,328,242,SNA
2009,10832,110,200,SNA
2010,20102,260,292,SNA
2011,3359,17,30,SNA
2012,4191,58,75,SNA
2013,7321,67,103,SNA
2014,5695,58,79,SNA
2015,13347,22,31,SNA
2016,9686,84,61,SNA
2017,3905,13,7,SNA
2018,3611,15,40,SNA
2019,6329,3,16,SNA
2020,8828,54,NA,SNA
2000,143,2,3,UCR
2001,22,0,0,UCR
2002,139,3,1,UCR
2003,33147,563,626,UCR
2004,5439,69,62,UCR
2005,4544,135,26,UCR
2006,2009,34,34,UCR
2007,2708,44,45,UCR
2008,2240,137,75,UCR
2009,2212,26,31,UCR
2010,10529,236,154,UCR
2011,2097,20,15,UCR
2012,2049,24,27,UCR
2013,2981,27,35,UCR
2014,2894,39,29,UCR
2015,5614,7,8,UCR
2016,5573,72,21,UCR
2017,3001,15,7,UCR
2018,4831,12,36,UCR
2019,4145,3,2,UCR
2020,4447,29,NA,UCR
