year,age3,age4,age5,age6,age7,age8
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,,,,,,
1991,8.099830056,2066.460352,3327.347956,384.2824954,,
1992,0,3843.616139,3291.017089,294.2444047,,
1993,0,2376.902259,3274.330867,357.400175,,
1994,0,1636.371116,2546.405354,261.6137156,,
1995,0,1744.696661,2350.312997,351.3617406,,
1996,0,2903.774591,1678.124064,182.073296,,
1997,0,2807.440829,2515.621212,205.1435144,,
1998,0,1281.309896,2686.365662,158.5796946,,
1999,0,1628.33036,1350.895835,195.8900689,,
2000,22.09051423,2306.242876,1999.031899,167.2381872,,
2001,89.43978619,2273.273482,3704.301939,107.8347532,,
2002,0,2300.179386,1623.258374,165.697825,,
2003,11.34513305,1231.988533,2547.959863,617.8326852,,
2004,17.33532036,2591.488395,1848.732036,327.4169405,,
2005,0,1594.004235,3849.504447,467.320973,,
2006,0,2135.532826,2427.865043,659.2965464,,
2007,0,955.193372,2410.822805,532.8131905,,
2008,0,1886.174244,1790.507301,327.7399771,,
2009,0,2288.915989,1222.523226,105.5272602,,
2010,28.78569154,2660.683541,1305.300511,17.38762058,,
2011,6.52076627,1161.803006,2482.26685,259.8411967,,
2012,144.6861844,2482.453663,3731.477846,661.2450336,,
2013,39.31443378,890.2078546,2750.236418,691.9898907,,
2014,0,1223.040358,2255.428697,305.0038053,,
2015,0,2421.152961,3376.377803,102.8130158,,
2016,2.064194332,1117.390397,4040.464238,291.4309039,,
2017,0,555.9895787,3105.625655,420.1930285,,
2018,26.69083807,1742.810189,1738.949423,321.7860316,,
2019,7.532418328,880.3474789,2914.701483,309.6414368,,
2020,0,940.8112833,1188.030442,51.45260705,,
2021,0,446.8818544,1500.26792,21.6110954,,
