Stock,ReturnYear,Age3,Age4,Age5,Age6,Return
Upriver_spring_Chinook,1984,5007,33988,17819,550,52357
Upriver_spring_Chinook,1985,8732,67334,24950,0,92284
Upriver_spring_Chinook,1986,5852,91146,37267,0,128413
Upriver_spring_Chinook,1987,3842,71337,39213,222,110772
Upriver_spring_Chinook,1988,4807,48740,57264,0,106004
Upriver_spring_Chinook,1989,6981,67766,21508,757,90031
Upriver_spring_Chinook,1990,2433,81998,23398,319,105715
Upriver_spring_Chinook,1991,4376,23506,40326,647,64479
Upriver_spring_Chinook,1992,2477,77576,18115,0,95691
Upriver_spring_Chinook,1993,1518,45618,73807,538,119963
Upriver_spring_Chinook,1994,624,12966,10900,229,24095
Upriver_spring_Chinook,1995,2780,8826,3710,256,12792
Upriver_spring_Chinook,1996,5311,53825,1726,0,55551
Upriver_spring_Chinook,1997,1061,107745,16576,0,124321
Upriver_spring_Chinook,1998,1160,23137,21171,0,44308
Upriver_spring_Chinook,1999,9808,38505,4451,111,43067
Upriver_spring_Chinook,2000,24363,179293,7423,0,186716
Upriver_spring_Chinook,2001,17055,398801,40662,422,439885
Upriver_spring_Chinook,2002,8288,286447,48745,114,335306
Upriver_spring_Chinook,2003,17558,97065,144491,1049,242605
Upriver_spring_Chinook,2004,12273,205980,15237,458,221675
Upriver_spring_Chinook,2005,5344,86057,19783,1070,106910
Upriver_spring_Chinook,2006,3856,108402,22786,1395,132583
Upriver_spring_Chinook,2007,20239,56568,28626,1049,86243
Upriver_spring_Chinook,2008,22354,157863,20101,663,178627
Upriver_spring_Chinook,2009,81782,139945,28145,1205,169295
Upriver_spring_Chinook,2010,16258,307580,7754,12,315346
Upriver_spring_Chinook,2011,67038,182848,38287,23,221158
Upriver_spring_Chinook,2012,10219,179870,22947,272,203089
Upriver_spring_Chinook,2013,42795,89936,32164,1037,123137
Upriver_spring_Chinook,2014,32408,218779,23428,427,242634
Upriver_spring_Chinook,2015,18138,265084,23162,747,288993
Upriver_spring_Chinook,2016,14019,125964,60559,1292,187815
Upriver_spring_Chinook,2017,21692,98603,15905,1313,115821
Upriver_spring_Chinook,2018,7563,104702,10111,268,115081
Upriver_spring_Chinook,2019,9092,59860,13072,173,73105
Upriver_spring_Chinook,2020,7953,74294,6927,80,81301
Upriver_spring_Chinook,2021,15592,76871,14717,148,91736
Upriver_spring_Chinook,2022,23957,170275,14594,340,185209
