year,4B_runsize,AllSS_runsize,AllSS_Wild         ,MISC10,GREEN_DUWAMISH    ,MISC10E,MISC11,PUYALLUP,MISC13,CHAMBERS,NISQUALLY,MISC13A,MISC13B
1968,521492,195479,194926,2206,2,43175,3766,7616,5,193,154,4769,133040
1969,224266,76414,76287,105,1,8777,2433,3624,1,183,16,2536,58611
1970,460674,98858,97427,178,1,29137,3525,6105,1,426,109,4698,53247
1971,273856,111385,110873,110,1,20417,1475,2503,4,281,549,3143,82390
1972,672664,281364,279531,627,56,49573,3404,7616,5,1708,1833,7091,207618
1973,451214,191044,189840,368,483,38401,4172,4771,4,987,596,2875,137183
1974,601918,183616,171843,373,803,30165,2805,2667,1,480,839,4090,129620
1975,154550,60149,60070,84,155,7327,1078,960,1,122,134,5440,44769
1976,708098,267850,247833,2587,1397,28000,3261,7379,2,572,282,38102,166251
1977,577445,220015,215598,231,495,55301,3385,7378,2,155,504,24478,123669
1978,1366120,372718,298806,256,359,175258,5509,3414,3,673,220,25933,87181
1979,243268,34331,26786,67,164,8242,904,695,1,76,1832,1549,13256
1980,884723,400266,287904,631,9572,68234,4497,16625,1001,48,666,33215,153415
1981,645703,218059,154420,446,8522,30590,1534,7018,49,269,104,9984,95904
1982,1268605,340218,198016,296,5,33493,3092,6267,4785,321,264,9984,139509
1983,546016,198686,137534,384,7,18475,1503,1704,351,89,620,2180,112221
1984,1023520,290658,228705,812,18,60461,4638,3415,1,0,2359,4855,152146
1985,1372947,349271,249756,1965,10,42592,10525,3438,23,138,1078,7781,182206
1986,1465959,241982,175160,2515,5,28597,7629,2913,1,48,489,4486,128477
1987,1578103,421758,336471,1706,11,49307,10714,6809,109,677,1630,10558,254950
1988,1813477,452140,373949,1721,8,98229,17827,7480,73,334,1886,24210,222181
1989,898634,228317,150574,909,42,32751,6684,1147,79,102,668,5187,103005
1990,1219798,323288,284521,934,9,43244,6175,1915,239,209,291,6769,224736
1991,1155127,294940,224641,1810,14,75096,9024,5169,2,271,173,2396,130686
1992,1739901,479007,435377,526,6766,127544,10045,8539,8,0,465,3255,278229
1993,1373987,440998,337782,1177,6,86871,17969,3162,6,0,83,7145,221363
1994,2405200,557565,469556,5311,4,95956,13471,4811,51,0,252,2003,347697
1995,1269024,409642,338626,1259,5,70753,17060,6518,497,0,890,28047,213597
1996,1818659,592544,543587,2151,6,83235,5541,5302,100,0,710,20029,426513
1997,693247,130657,108399,982,3,26797,2280,807,47,0,407,4928,72148
1998,1908269,682341,582094,7268,4,152569,6248,5178,1,0,1,33468,377357
1999,659281,236867,216913,2936,2,66526,2298,2951,1,0,1,16093,126105
2000,517209,247776,220866,1672,91,9916,5116,14025,2,2822,2,39295,147925
2001,2369365,972934,825694,8197,17,85061,16115,102224,3,0,3,49620,564454
2002,3076218.773,970442.2032,771183.2032,10797.25,9,133268.1104,22888.66667,96713.66108,3,1277,3,44814.24098,461409.274
2003,2312913.768,742940.2233,585414.2233,9771.75,16,126063.1191,13401.55556,63810.07449,3,1075,3,26346.9322,344923.792
2004,2843032.977,1022749.052,870677.0516,9445,18,59927.47711,23017.33333,89268.74115,3,3,3,37098.33525,651893.1647
2005,979684.7453,414939.1206,375653.1206,7414.25,12,35874.28044,2810.888889,59361.71881,3,3,3,5765.326383,264405.656
2006,2446967.371,939638.0464,772923.0464,13010,10,127659.0464,17267,78392,1,1,1,32870,503712
2007,2036203.536,1036774.22,902897.2204,10971.5,12,200003,9986,57977.87523,1,1365,1,28805.84521,593774
2008,1200638.836,464193.1419,362848.1419,11227.75,5,36291.19056,4615.444444,29209.15084,1,153,1,39237.80369,242106.8024
2009,891969.0244,344854.3643,298740.3643,7849.25,8,40476.60522,1775.888889,8824.918063,1,1,1,5848.778718,233953.9234
2010,1253517.726,627131.1407,477407.1407,5408.75,10,58027.86522,5321.333333,82473.21415,1,1,1,59267.6455,266895.3325
2011,1393455.008,548484.3466,443801.3466,7483.25,6,27817,12080.55556,89026.53631,2,5,2,23464.76666,283914.2381
2012,1417821.121,611674.6577,454415.6577,10404,10,58269.388,9812.555556,51936.48231,3,3618,3,28948.86455,291410.3672
2013,2139705.586,597761.6478,496764.6478,10755.25,14,51413.44367,3226.266667,36712.29795,1,8,1,13337.56363,381295.8259
2014,1508181.299,589761.5047,497340.5047,6452.5,5,62164.49511,2274.222222,43737.68901,1,1,1,22806.09495,359897.5034
2015,1452842.571,503500.6562,401899.6562,11457.5,14,25774.964,7507.444444,7502.716946,2,36,2,31281,318322.0308
2016,1354326.246,401462.3816,300373.3816,6991.75,7,31789.40256,5987.444444,16063.44879,1,1,1,14625.45318,224905.8827
2017,1731678.032,584264.3407,457587.3407,16693.25,3,54401.70378,9561.333333,22814.93855,0,3,3,24169.51505,329937.6
2018,1277763,480953,355783,8985,4,27389,6707,5416,2,2,2,12359,294917
2019,419857,163566,110496,2323,0,22671,215,218,1,1,1,8191,76875
2020,512331,256442,178118,7471,0,28348,1338,956,1,1,1,10380,129622
